county_code,county_name,registered_voters
001,MOMBASA,641913
002,KWALE,328253
003,KILIFI,588602
004,TANA RIVER,141096
005,LAMU,81453
006,TAITA TAVETA,181827
007,GARISSA,201473
008,WAJIR,207758
009,MANDERA,217030
010,MARSABIT,166912
011,ISIOLO,89504
012,MERU,772139
013,THARAKA - NITHI,231932
014,EMBU,334302
015,KITUI,532758
016,MACHAKOS,687565
017,MAKUENI,479401
018,NYANDARUA,361165
019,NYERI,481632
020,KIRINYAGA,376001
021,MURANG'A,620929
022,KIAMBU,1275008
023,TURKANA,238528
024,WEST POKOT,220026
025,SAMBURU,100014
026,TRANS NZOIA,398981
027,UASIN GISHU,506138
028,ELGEYO MARAKWET,213884
029,"NANDI",406288
030,BARINGO,281053
031,LAIKIPIA,263012
032,"NAKURU",1054856
033,"NAROK",398784
034,KAJIADO,463273
035,KERICHO,428067
036,BOMET,376985
037,KAKAMEGA,844551
038,VIHIGA,310043
039,BUNGOMA,646598
040,BUSIA,416756
041,SIAYA,533595
042,KISUMU,606754
043,HOMA BAY,551071
044,MIGORI,469019
045,KISII,637010
046,NYAMIRA,323283
047,"NAIROBI CITY",2415310
